   DC: 0.54   V: 30.98V |  0.00V |  0.03V   P: 129.86W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.56   V: 28.48V |  0.00V |  0.00V   P: 121.26W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.58   V: 25.99V |  0.00V |  0.03V   P: 111.06W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.60   V: 23.55V |  0.00V |  0.05V   P: 100.24W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
/////////////////////////////
// TARGET:
//
//  MPP DC: 0.00 |23.55 | 0.00
//  MPP POWER:  0.05W | 100.24W |  0.00W
//  MPP Vin:  0.00 |  0.00 |  0.00
//
/////////////////////////////
DC: 0.00 | 0.00 | 0.00    Vin: 23.19V |  0.05V |  0.05V   Vref: 43.45V |  0.20V |  0.18V    Vout: 58.88V    Iin:  4.26A |  0.02A |  0.02A    Pin: 98.72W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.94V |  0.00V |  0.00V   Vref: 43.45V |  0.20V |  0.18V    Vout: 50.19V    Iin:  1.38A |  0.01A |  0.01A    Pin: 70.41W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.94V |  0.00V |  0.00V   Vref: 43.45V |  0.20V |  0.18V    Vout: 50.27V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.41W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.94V |  0.00V |  0.00V   Vref: 43.45V |  0.20V |  0.18V    Vout: 50.27V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.21W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.88V |  0.00V |  0.00V   Vref: 43.45V |  0.20V |  0.18V    Vout: 50.27V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.34W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.88V |  0.00V |  0.00V   Vref: 43.45V |  0.20V |  0.18V    Vout: 50.27V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.14W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.88V |  0.00V |  0.00V   Vref: 43.45V |  0.20V |  0.18V    Vout: 50.19V    Iin:  1.37A |  0.01A |  0.01A    Pin: 69.93W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.88V |  0.00V |  0.00V   Vref: 43.45V |  0.20V |  0.18V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.14W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.88V |  0.00V |  0.00V   Vref: 43.45V |  0.20V |  0.18V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.14W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.88V |  0.00V |  0.00V   Vref: 43.45V |  0.20V |  0.18V    Vout: 50.19V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.93W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.88V |  0.00V |  0.00V   Vref: 43.45V |  0.20V |  0.18V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.14W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.45V |  0.20V |  0.18V    Vout: 50.19V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.86W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.88V |  0.00V |  0.00V   Vref: 43.45V |  0.20V |  0.18V    Vout: 50.27V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.93W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.88V |  0.00V |  0.00V   Vref: 43.45V |  0.20V |  0.18V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.14W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.86V |  0.00V |  0.00V   Vref: 43.20V |  0.45V |  0.43V    Vout: 50.11V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.10W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.88V |  0.00V |  0.00V   Vref: 43.20V |  0.45V |  0.43V    Vout: 50.11V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.14W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.86V |  0.00V |  0.00V   Vref: 43.20V |  0.45V |  0.43V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.10W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.20V |  0.45V |  0.43V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.20V |  0.45V |  0.43V    Vout: 50.19V    Iin:  1.37A |  0.01A |  0.01A    Pin: 69.86W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.20V |  0.45V |  0.43V    Vout: 50.11V    Iin:  1.37A |  0.01A |  0.01A    Pin: 69.86W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.20V |  0.45V |  0.43V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.20V |  0.45V |  0.43V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.20V |  0.45V |  0.43V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.20V |  0.45V |  0.43V    Vout: 50.19V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.86W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.20V |  0.45V |  0.43V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.20V |  0.45V |  0.43V    Vout: 50.19V    Iin:  1.38A |  0.01A |  0.01A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.20V |  0.45V |  0.43V    Vout: 50.11V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.20V |  0.45V |  0.43V    Vout: 50.11V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.20V |  0.45V |  0.43V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   DC: 0.10   V: 50.12V |  0.00V |  0.00V   P: 92.32W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.12   V: 50.22V |  0.00V |  0.00V   P: 91.69W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
