des: 52.00 | now: 51.85 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.237 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.16 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.98 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 51.95 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.00 | now: 52.01 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.01 | du: 0.235 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.34 | du: 0.235 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.34 | du: 0.234 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.41 | du: 0.234 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.41 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.49 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.44 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.46 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.46 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.46 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.54 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.46 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.54 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.46 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.46 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.51 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.54 | du: 0.230 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.67 | du: 0.229 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.77 | du: 0.228 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.72 | du: 0.227 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.82 | du: 0.226 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.87 | du: 0.226 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.87 | du: 0.225 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.87 | du: 0.224 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.87 | du: 0.224 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.97 | du: 0.224 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.97 | du: 0.224 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.92 | du: 0.223 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.95 | du: 0.223 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.95 | du: 0.223 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.97 | du: 0.223 | p_: 00.10 | i_: 00.10
        Duty: 0.000 | Vin: 56.765 | Iin: 1.565 | Pow: 88.859 | MPP Pow: 0.000
