        Duty: 0.240 | Vin: 53.405 | Iin: 2.692 | Pow: 143.748 | MPP Pow: 141.647
        Duty: 0.250 | Vin: 53.074 | Iin: 2.732 | Pow: 145.015 | MPP Pow: 143.748
        Duty: 0.260 | Vin: 52.641 | Iin: 2.801 | Pow: 147.471 | MPP Pow: 145.015
        Duty: 0.270 | Vin: 52.132 | Iin: 2.838 | Pow: 147.953 | MPP Pow: 147.471   << Definitive MPP at 0.27 duty and 52.1 Vin
        Duty: 0.280 | Vin: 51.165 | Iin: 2.891 | Pow: 147.912 | MPP Pow: 147.953
        Duty: 0.290 | Vin: 50.223 | Iin: 2.907 | Pow: 146.006 | MPP Pow: 147.953
        Duty: 0.300 | Vin: 49.001 | Iin: 2.936 | Pow: 143.848 | MPP Pow: 147.953
        Duty: 0.310 | Vin: 47.856 | Iin: 2.932 | Pow: 140.291 | MPP Pow: 147.953
        Duty: 0.320 | Vin: 46.939 | Iin: 2.968 | Pow: 139.322 | MPP Pow: 147.953
        Duty: 0.330 | Vin: 45.972 | Iin: 2.972 | Pow: 136.638 | MPP Pow: 147.953
        Duty: 0.340 | Vin: 44.928 | Iin: 2.997 | Pow: 134.632 | MPP Pow: 147.953
        Duty: 0.350 | Vin: 43.758 | Iin: 3.005 | Pow: 131.479 | MPP Pow: 147.953
        Duty: 0.360 | Vin: 42.612 | Iin: 3.054 | Pow: 130.117 | MPP Pow: 147.953
        Duty: 0.370 | Vin: 41.416 | Iin: 3.041 | Pow: 125.958 | MPP Pow: 147.953
        Duty: 0.380 | Vin: 40.117 | Iin: 3.070 | Pow: 123.152 | MPP Pow: 147.953
        Duty: 0.390 | Vin: 38.921 | Iin: 3.074 | Pow: 119.637 | MPP Pow: 147.953
        Duty: 0.400 | Vin: 37.674 | Iin: 3.086 | Pow: 116.263 | MPP Pow: 147.953
        Duty: 0.410 | Vin: 36.528 | Iin: 3.070 | Pow: 112.134 | MPP Pow: 147.953
        Duty: 0.420 | Vin: 35.408 | Iin: 3.086 | Pow: 109.271 | MPP Pow: 147.953
        Duty: 0.430 | Vin: 34.186 | Iin: 3.074 | Pow: 105.084 | MPP Pow: 147.953
        Duty: 0.440 | Vin: 33.117 | Iin: 3.086 | Pow: 102.201 | MPP Pow: 147.953
        Duty: 0.450 | Vin: 32.048 | Iin: 3.102 | Pow: 99.423 | MPP Pow: 147.953
        Duty: 0.460 | Vin: 30.903 | Iin: 3.139 | Pow: 97.000 | MPP Pow: 147.953
        Duty: 0.470 | Vin: 29.935 | Iin: 3.135 | Pow: 93.842 | MPP Pow: 147.953
        Duty: 0.480 | Vin: 28.815 | Iin: 3.159 | Pow: 91.034 | MPP Pow: 147.953
        Duty: 0.490 | Vin: 27.899 | Iin: 3.151 | Pow: 87.912 | MPP Pow: 147.953
        Duty: 0.500 | Vin: 26.881 | Iin: 3.188 | Pow: 85.687 | MPP Pow: 147.953
des: 51.75 | now: 50.48 | du: 0.000 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 57.15 | du: 0.000 | p_: 00.10 | i_: 00.10
des: 51.75 | now: 57.15 | du: 0.000 | p_: 00.10 | i_: 00.10
