Unbounded DC: -0.939 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -7.41 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -1.009 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -7.97 | dt: 05.40 |  p_: 00.13 | i_: 00.13
Unbounded DC: -1.079 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -8.53 | dt: 05.40 |  p_: 00.13 | i_: 00.13
Unbounded DC: -1.149 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -9.09 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -1.218 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -9.64 | dt: 05.40 |  p_: 00.13 | i_: 00.13
Unbounded DC: -1.287 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -10.19 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -1.357 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -10.75 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -1.427 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -11.31 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -1.497 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -11.87 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -1.567 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -12.43 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -1.638 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -13.00 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -1.708 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -13.56 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -1.778 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -14.12 | dt: 05.48 |  p_: 00.13 | i_: 00.13
